Source,Year,Mean
gcag,1865-12,-0.4606
gcag,1866-01,-0.1321
gcag,1866-02,-0.4011
gcag,1866-03,-0.6822
gcag,1866-04,-0.4544
gcag,1866-05,-0.5728
gcag,1866-06,-0.0981
gcag,1866-07,-0.0083
gcag,1866-08,-0.2495
gcag,1866-09,-0.3778
gcag,1866-10,-0.4206
gcag,1866-11,-0.2983
gcag,1866-12,-0.4004
gcag,1867-01,-0.4052
gcag,1867-02,-0.3536
gcag,1867-03,-0.6812
gcag,1867-04,-0.4213
gcag,1867-05,-0.5748
gcag,1867-06,-0.3504
gcag,1867-07,-0.2528
gcag,1867-08,-0.3305
gcag,1867-09,-0.1479
gcag,1867-10,-0.1253
gcag,1867-11,-0.1957
gcag,1867-12,-0.4454
gcag,1868-01,-0.6849
gcag,1868-02,-0.6933
gcag,1868-03,-0.3339
gcag,1868-04,-0.363
gcag,1868-05,-0.2855
gcag,1868-06,-0.2969
gcag,1868-07,-0.0596
gcag,1868-08,-0.1933
gcag,1868-09,-0.3448
gcag,1868-10,-0.2297
gcag,1868-11,-0.4232
gcag,1868-12,-0.314
gcag,1869-01,-0.3357
gcag,1869-02,0.1313
gcag,1869-03,-0.626
gcag,1869-04,-0.4057
gcag,1869-05,-0.31
gcag,1869-06,-0.3845
gcag,1869-07,-0.4171
gcag,1869-08,-0.1679
gcag,1869-09,-0.1716
gcag,1869-10,-0.2935
gcag,1869-11,-0.2818
gcag,1869-12,-0.5366
gcag,1870-01,-0.2111
gcag,1870-02,-0.4549
gcag,1870-03,-0.4983
gcag,1870-04,-0.3329
gcag,1870-05,-0.2977
gcag,1870-06,-0.2312
gcag,1870-07,-0.0734
gcag,1870-08,-0.2582
gcag,1870-09,-0.2023
gcag,1870-10,-0.4429
gcag,1870-11,-0.2658
gcag,1870-12,-0.6664
gcag,1871-01,-0.5583
gcag,1871-02,-0.6721
gcag,1871-03,-0.1709
gcag,1871-04,-0.2219
gcag,1871-05,-0.3622
gcag,1871-06,-0.2864
gcag,1871-07,-0.0824
gcag,1871-08,-0.3224
gcag,1871-09,-0.3611
gcag,1871-10,-0.3733
gcag,1871-11,-0.5227
gcag,1871-12,-0.489
gcag,1872-01,-0.5988
gcag,1872-02,-0.6208
gcag,1872-03,-0.5237
gcag,1872-04,-0.3854
gcag,1872-05,-0.1415
gcag,1872-06,-0.2794
gcag,1872-07,-0.1463
gcag,1872-08,0.0086
gcag,1872-09,-0.1765
gcag,1872-10,-0.2035
gcag,1872-11,-0.322
gcag,1872-12,-0.548
gcag,1873-01,-0.2617
gcag,1873-02,-0.2825
gcag,1873-03,-0.4087
gcag,1873-04,-0.4806
gcag,1873-05,-0.3509
gcag,1873-06,-0.3205
gcag,1873-07,-0.1757
gcag,1873-08,-0.2278
gcag,1873-09,-0.4053
gcag,1873-10,-0.3906
gcag,1873-11,-0.4633
gcag,1873-12,-0.3279
gcag,1874-01,-0.1985
gcag,1874-02,-0.4384
gcag,1874-03,-0.6729
gcag,1874-04,-0.437
gcag,1874-05,-0.334
gcag,1874-06,-0.5658
gcag,1874-07,-0.1671
gcag,1874-08,-0.2961
gcag,1874-09,-0.1682
gcag,1874-10,-0.4712
gcag,1874-11,-0.4177
gcag,1874-12,-0.312
gcag,1875-01,-0.5711
gcag,1875-02,-0.4793
gcag,1875-03,-0.5643
gcag,1875-04,-0.3581
gcag,1875-05,-0.2728
gcag,1875-06,-0.28
gcag,1875-07,-0.1821
gcag,1875-08,-0.2465
gcag,1875-09,-0.2343
gcag,1875-10,-0.2332
gcag,1875-11,-0.5092
gcag,1875-12,-0.5767
gcag,1876-01,-0.5137
gcag,1876-02,-0.3374
gcag,1876-03,-0.3623
gcag,1876-04,-0.4243
gcag,1876-05,-0.5904
gcag,1876-06,-0.3523
gcag,1876-07,-0.2137
gcag,1876-08,-0.3272
gcag,1876-09,-0.4178
gcag,1876-10,-0.2998
gcag,1876-11,-0.6068
gcag,1876-12,-0.6434
gcag,1877-01,-0.4111
gcag,1877-02,-0.2093
gcag,1877-03,-0.0914
gcag,1877-04,-0.3459
gcag,1877-05,-0.4113
gcag,1877-06,-0.1382
gcag,1877-07,-0.0163
gcag,1877-08,0.2107
gcag,1877-09,0.1076
gcag,1877-10,0.1133
gcag,1877-11,0.034
gcag,1877-12,-0.0556
gcag,1878-01,-0.0698
gcag,1878-02,0.2294
gcag,1878-03,0.3613
gcag,1878-04,0.1885
gcag,1878-05,-0.1224
gcag,1878-06,0.0103
gcag,1878-07,-0.0772
gcag,1878-08,-0.0466
gcag,1878-09,0.0208
gcag,1878-10,-0.165
gcag,1878-11,-0.1426
gcag,1878-12,-0.3226
gcag,1879-01,-0.2378
gcag,1879-02,-0.266
gcag,1879-03,-0.2584
gcag,1879-04,-0.3824
gcag,1879-05,-0.3439
gcag,1879-06,-0.2833
gcag,1879-07,-0.2641
gcag,1879-08,-0.2653
gcag,1879-09,-0.2356
gcag,1879-10,-0.1591
gcag,1879-11,-0.3973
gcag,1879-12,-0.5505
GISTEMP,1880-01,-0.2
gcag,1880-01,-0.3939
GISTEMP,1880-02,-0.25
gcag,1880-02,-0.4499
GISTEMP,1880-03,-0.09
gcag,1880-03,-0.1944
GISTEMP,1880-04,-0.16
gcag,1880-04,-0.338
GISTEMP,1880-05,-0.09
gcag,1880-05,-0.3254
GISTEMP,1880-06,-0.22
gcag,1880-06,-0.3805
GISTEMP,1880-07,-0.2
gcag,1880-07,-0.3148
GISTEMP,1880-08,-0.09
gcag,1880-08,-0.1072
GISTEMP,1880-09,-0.15
gcag,1880-09,-0.297
GISTEMP,1880-10,-0.22
gcag,1880-10,-0.3909
GISTEMP,1880-11,-0.22
gcag,1880-11,-0.2807
GISTEMP,1880-12,-0.18
gcag,1880-12,-0.3173
GISTEMP,1881-01,-0.19
gcag,1881-01,-0.2146
GISTEMP,1881-02,-0.15
gcag,1881-02,-0.2246
GISTEMP,1881-03,0.02
gcag,1881-03,-0.2482
GISTEMP,1881-04,0.04
gcag,1881-04,-0.0625
GISTEMP,1881-05,0.07
gcag,1881-05,-0.1219
GISTEMP,1881-06,-0.19
gcag,1881-06,-0.3991
GISTEMP,1881-07,0.01
gcag,1881-07,-0.194
GISTEMP,1881-08,-0.04
gcag,1881-08,-0.1382
GISTEMP,1881-09,-0.16
gcag,1881-09,-0.3008
GISTEMP,1881-10,-0.22
gcag,1881-10,-0.2305
GISTEMP,1881-11,-0.18
gcag,1881-11,-0.3812
GISTEMP,1881-12,-0.07
gcag,1881-12,-0.2713
GISTEMP,1882-01,0.16
gcag,1882-01,-0.0254
GISTEMP,1882-02,0.14
gcag,1882-02,-0.1173
GISTEMP,1882-03,0.05
gcag,1882-03,-0.1771
GISTEMP,1882-04,-0.15
gcag,1882-04,-0.3147
GISTEMP,1882-05,-0.13
gcag,1882-05,-0.3257
GISTEMP,1882-06,-0.22
gcag,1882-06,-0.3923
GISTEMP,1882-07,-0.16
gcag,1882-07,-0.341
GISTEMP,1882-08,-0.07
gcag,1882-08,-0.2451
GISTEMP,1882-09,-0.14
gcag,1882-09,-0.1504
GISTEMP,1882-10,-0.23
gcag,1882-10,-0.3991
GISTEMP,1882-11,-0.17
gcag,1882-11,-0.4035
GISTEMP,1882-12,-0.36
gcag,1882-12,-0.6547
GISTEMP,1883-01,-0.29
gcag,1883-01,-0.4728
GISTEMP,1883-02,-0.36
gcag,1883-02,-0.4854
GISTEMP,1883-03,-0.12
gcag,1883-03,-0.2664
GISTEMP,1883-04,-0.18
gcag,1883-04,-0.439
GISTEMP,1883-05,-0.18
gcag,1883-05,-0.34
GISTEMP,1883-06,-0.07
gcag,1883-06,-0.1902
GISTEMP,1883-07,-0.07
gcag,1883-07,-0.2186
GISTEMP,1883-08,-0.14
gcag,1883-08,-0.2879
GISTEMP,1883-09,-0.22
gcag,1883-09,-0.3063
GISTEMP,1883-10,-0.11
gcag,1883-10,-0.3401
GISTEMP,1883-11,-0.24
gcag,1883-11,-0.3963
GISTEMP,1883-12,-0.11
gcag,1883-12,-0.4148
GISTEMP,1884-01,-0.12
gcag,1884-01,-0.4436
GISTEMP,1884-02,-0.08
gcag,1884-02,-0.3329
GISTEMP,1884-03,-0.36
gcag,1884-03,-0.5055
GISTEMP,1884-04,-0.4
gcag,1884-04,-0.509
GISTEMP,1884-05,-0.33
gcag,1884-05,-0.5656
GISTEMP,1884-06,-0.35
gcag,1884-06,-0.5138
GISTEMP,1884-07,-0.3
gcag,1884-07,-0.5659
GISTEMP,1884-08,-0.28
gcag,1884-08,-0.4291
GISTEMP,1884-09,-0.27
gcag,1884-09,-0.5043
GISTEMP,1884-10,-0.25
gcag,1884-10,-0.4633
GISTEMP,1884-11,-0.33
gcag,1884-11,-0.5852
GISTEMP,1884-12,-0.3
gcag,1884-12,-0.4897
GISTEMP,1885-01,-0.58
gcag,1885-01,-0.6561
GISTEMP,1885-02,-0.34
gcag,1885-02,-0.5528
GISTEMP,1885-03,-0.27
gcag,1885-03,-0.421
GISTEMP,1885-04,-0.42
gcag,1885-04,-0.635
GISTEMP,1885-05,-0.45
gcag,1885-05,-0.6063
GISTEMP,1885-06,-0.43
gcag,1885-06,-0.6366
GISTEMP,1885-07,-0.33
gcag,1885-07,-0.4205
GISTEMP,1885-08,-0.31
gcag,1885-08,-0.4051
GISTEMP,1885-09,-0.28
gcag,1885-09,-0.3567
GISTEMP,1885-10,-0.23
gcag,1885-10,-0.3615
GISTEMP,1885-11,-0.24
gcag,1885-11,-0.3843
GISTEMP,1885-12,-0.1
gcag,1885-12,-0.2176
GISTEMP,1886-01,-0.44
gcag,1886-01,-0.4797
GISTEMP,1886-02,-0.51
gcag,1886-02,-0.4788
GISTEMP,1886-03,-0.43
gcag,1886-03,-0.4872
GISTEMP,1886-04,-0.28
gcag,1886-04,-0.3616
GISTEMP,1886-05,-0.24
gcag,1886-05,-0.2926
GISTEMP,1886-06,-0.34
gcag,1886-06,-0.502
GISTEMP,1886-07,-0.18
gcag,1886-07,-0.3022
GISTEMP,1886-08,-0.31
gcag,1886-08,-0.4574
GISTEMP,1886-09,-0.24
gcag,1886-09,-0.3908
GISTEMP,1886-10,-0.28
gcag,1886-10,-0.413
GISTEMP,1886-11,-0.28
gcag,1886-11,-0.4908
GISTEMP,1886-12,-0.26
gcag,1886-12,-0.3948
GISTEMP,1887-01,-0.72
gcag,1887-01,-0.7438
GISTEMP,1887-02,-0.57
gcag,1887-02,-0.6589
GISTEMP,1887-03,-0.36
gcag,1887-03,-0.4454
GISTEMP,1887-04,-0.35
gcag,1887-04,-0.4828
GISTEMP,1887-05,-0.31
gcag,1887-05,-0.5295
GISTEMP,1887-06,-0.25
gcag,1887-06,-0.5258
GISTEMP,1887-07,-0.26
gcag,1887-07,-0.3889
GISTEMP,1887-08,-0.36
gcag,1887-08,-0.4455
GISTEMP,1887-09,-0.26
gcag,1887-09,-0.3886
GISTEMP,1887-10,-0.36
gcag,1887-10,-0.4446
GISTEMP,1887-11,-0.27
gcag,1887-11,-0.4352
GISTEMP,1887-12,-0.33
gcag,1887-12,-0.4965
GISTEMP,1888-01,-0.34
gcag,1888-01,-0.6185
GISTEMP,1888-02,-0.36
gcag,1888-02,-0.5873
GISTEMP,1888-03,-0.42
gcag,1888-03,-0.5973
GISTEMP,1888-04,-0.21
gcag,1888-04,-0.3519
GISTEMP,1888-05,-0.22
gcag,1888-05,-0.4113
GISTEMP,1888-06,-0.17
gcag,1888-06,-0.3217
GISTEMP,1888-07,-0.1
gcag,1888-07,-0.3386
GISTEMP,1888-08,-0.16
gcag,1888-08,-0.3105
GISTEMP,1888-09,-0.12
gcag,1888-09,-0.3247
GISTEMP,1888-10,0.01
gcag,1888-10,-0.1664
GISTEMP,1888-11,0.02
gcag,1888-11,-0.265
GISTEMP,1888-12,-0.04
gcag,1888-12,-0.2593
GISTEMP,1889-01,-0.09
gcag,1889-01,-0.2967
GISTEMP,1889-02,0.16
gcag,1889-02,-0.0066
GISTEMP,1889-03,0.06
gcag,1889-03,-0.0873
GISTEMP,1889-04,0.09
gcag,1889-04,-0.0868
GISTEMP,1889-05,-0.01
gcag,1889-05,-0.1581
GISTEMP,1889-06,-0.1
gcag,1889-06,-0.2128
GISTEMP,1889-07,-0.08
gcag,1889-07,-0.2809
GISTEMP,1889-08,-0.21
gcag,1889-08,-0.3071
GISTEMP,1889-09,-0.24
gcag,1889-09,-0.3417
GISTEMP,1889-10,-0.26
gcag,1889-10,-0.37
GISTEMP,1889-11,-0.34
gcag,1889-11,-0.5064
GISTEMP,1889-12,-0.29
gcag,1889-12,-0.3443
GISTEMP,1890-01,-0.42
gcag,1890-01,-0.5339
GISTEMP,1890-02,-0.45
gcag,1890-02,-0.465
GISTEMP,1890-03,-0.4
gcag,1890-03,-0.6111
GISTEMP,1890-04,-0.3
gcag,1890-04,-0.4941
GISTEMP,1890-05,-0.4
gcag,1890-05,-0.5365
GISTEMP,1890-06,-0.25
gcag,1890-06,-0.4948
GISTEMP,1890-07,-0.28
gcag,1890-07,-0.4891
GISTEMP,1890-08,-0.39
gcag,1890-08,-0.467
GISTEMP,1890-09,-0.37
gcag,1890-09,-0.4822
GISTEMP,1890-10,-0.25
gcag,1890-10,-0.4392
GISTEMP,1890-11,-0.44
gcag,1890-11,-0.6701
GISTEMP,1890-12,-0.32
gcag,1890-12,-0.3993
GISTEMP,1891-01,-0.34
gcag,1891-01,-0.5802
GISTEMP,1891-02,-0.47
gcag,1891-02,-0.5976
GISTEMP,1891-03,-0.18
gcag,1891-03,-0.3625
GISTEMP,1891-04,-0.28
gcag,1891-04,-0.4481
GISTEMP,1891-05,-0.17
gcag,1891-05,-0.3462
GISTEMP,1891-06,-0.21
gcag,1891-06,-0.3751
GISTEMP,1891-07,-0.18
gcag,1891-07,-0.3997
GISTEMP,1891-08,-0.18
gcag,1891-08,-0.3549
GISTEMP,1891-09,-0.16
gcag,1891-09,-0.2567
GISTEMP,1891-10,-0.22
gcag,1891-10,-0.343
GISTEMP,1891-11,-0.32
gcag,1891-11,-0.5339
GISTEMP,1891-12,-0.04
gcag,1891-12,-0.218
GISTEMP,1892-01,-0.3
gcag,1892-01,-0.4648
GISTEMP,1892-02,-0.13
gcag,1892-02,-0.2897
GISTEMP,1892-03,-0.41
gcag,1892-03,-0.533
GISTEMP,1892-04,-0.34
gcag,1892-04,-0.5456
GISTEMP,1892-05,-0.24
gcag,1892-05,-0.4569
GISTEMP,1892-06,-0.22
gcag,1892-06,-0.4364
GISTEMP,1892-07,-0.32
gcag,1892-07,-0.5868
GISTEMP,1892-08,-0.27
gcag,1892-08,-0.5083
GISTEMP,1892-09,-0.17
gcag,1892-09,-0.3824
GISTEMP,1892-10,-0.14
gcag,1892-10,-0.4338
GISTEMP,1892-11,-0.43
gcag,1892-11,-0.6607
GISTEMP,1892-12,-0.39
gcag,1892-12,-0.7923
GISTEMP,1893-01,-0.82
gcag,1893-01,-1.0449
GISTEMP,1893-02,-0.57
gcag,1893-02,-0.845
GISTEMP,1893-03,-0.23
gcag,1893-03,-0.4268
GISTEMP,1893-04,-0.28
gcag,1893-04,-0.5148
GISTEMP,1893-05,-0.34
gcag,1893-05,-0.5721
GISTEMP,1893-06,-0.26
gcag,1893-06,-0.4423
GISTEMP,1893-07,-0.14
gcag,1893-07,-0.2438
GISTEMP,1893-08,-0.26
gcag,1893-08,-0.287
GISTEMP,1893-09,-0.23
gcag,1893-09,-0.3651
GISTEMP,1893-10,-0.19
gcag,1893-10,-0.3043
GISTEMP,1893-11,-0.19
gcag,1893-11,-0.4048
GISTEMP,1893-12,-0.32
gcag,1893-12,-0.4845
GISTEMP,1894-01,-0.53
gcag,1894-01,-0.6276
GISTEMP,1894-02,-0.3
gcag,1894-02,-0.4295
GISTEMP,1894-03,-0.24
gcag,1894-03,-0.5116
GISTEMP,1894-04,-0.45
gcag,1894-04,-0.5375
GISTEMP,1894-05,-0.31
gcag,1894-05,-0.5192
GISTEMP,1894-06,-0.41
gcag,1894-06,-0.5836
GISTEMP,1894-07,-0.24
gcag,1894-07,-0.3921
GISTEMP,1894-08,-0.24
gcag,1894-08,-0.3536
GISTEMP,1894-09,-0.28
gcag,1894-09,-0.4397
GISTEMP,1894-10,-0.24
gcag,1894-10,-0.399
GISTEMP,1894-11,-0.27
gcag,1894-11,-0.4601
GISTEMP,1894-12,-0.22
gcag,1894-12,-0.5517
GISTEMP,1895-01,-0.42
gcag,1895-01,-0.636
GISTEMP,1895-02,-0.44
gcag,1895-02,-0.6418
GISTEMP,1895-03,-0.34
gcag,1895-03,-0.6179
GISTEMP,1895-04,-0.23
gcag,1895-04,-0.4611
GISTEMP,1895-05,-0.28
gcag,1895-05,-0.4825
GISTEMP,1895-06,-0.22
gcag,1895-06,-0.4254
GISTEMP,1895-07,-0.18
gcag,1895-07,-0.3349
GISTEMP,1895-08,-0.18
gcag,1895-08,-0.3772
GISTEMP,1895-09,-0.13
gcag,1895-09,-0.3943
GISTEMP,1895-10,-0.12
gcag,1895-10,-0.3257
GISTEMP,1895-11,-0.18
gcag,1895-11,-0.3214
GISTEMP,1895-12,-0.15
gcag,1895-12,-0.3668
GISTEMP,1896-01,-0.23
gcag,1896-01,-0.3152
GISTEMP,1896-02,-0.13
gcag,1896-02,-0.3366
GISTEMP,1896-03,-0.27
gcag,1896-03,-0.5884
GISTEMP,1896-04,-0.31
gcag,1896-04,-0.546
GISTEMP,1896-05,-0.16
gcag,1896-05,-0.3561
GISTEMP,1896-06,-0.12
gcag,1896-06,-0.2301
GISTEMP,1896-07,-0.03
gcag,1896-07,-0.1824
GISTEMP,1896-08,-0.06
gcag,1896-08,-0.1716
GISTEMP,1896-09,-0.08
gcag,1896-09,-0.1553
GISTEMP,1896-10,0.05
gcag,1896-10,-0.1179
GISTEMP,1896-11,-0.05
gcag,1896-11,-0.3141
GISTEMP,1896-12,-0.05
gcag,1896-12,-0.0944
GISTEMP,1897-01,-0.16
gcag,1897-01,-0.3001
GISTEMP,1897-02,-0.18
gcag,1897-02,-0.3486
GISTEMP,1897-03,-0.14
gcag,1897-03,-0.4155
GISTEMP,1897-04,-0.03
gcag,1897-04,-0.1176
GISTEMP,1897-05,-0.02
gcag,1897-05,-0.1141
GISTEMP,1897-06,-0.12
gcag,1897-06,-0.1627
GISTEMP,1897-07,-0.03
gcag,1897-07,-0.187
GISTEMP,1897-08,-0.1
gcag,1897-08,-0.1854
GISTEMP,1897-09,-0.09
gcag,1897-09,-0.1863
GISTEMP,1897-10,-0.14
gcag,1897-10,-0.2123
GISTEMP,1897-11,-0.19
gcag,1897-11,-0.4227
GISTEMP,1897-12,-0.21
gcag,1897-12,-0.4652
GISTEMP,1898-01,-0.03
gcag,1898-01,-0.1992
GISTEMP,1898-02,-0.31
gcag,1898-02,-0.5561
GISTEMP,1898-03,-0.52
gcag,1898-03,-0.8427
GISTEMP,1898-04,-0.32
gcag,1898-04,-0.663
GISTEMP,1898-05,-0.31
gcag,1898-05,-0.5596
GISTEMP,1898-06,-0.2
gcag,1898-06,-0.3347
GISTEMP,1898-07,-0.23
gcag,1898-07,-0.3948
GISTEMP,1898-08,-0.27
gcag,1898-08,-0.3894
GISTEMP,1898-09,-0.22
gcag,1898-09,-0.3708
GISTEMP,1898-10,-0.35
gcag,1898-10,-0.501
GISTEMP,1898-11,-0.39
gcag,1898-11,-0.5286
GISTEMP,1898-12,-0.24
gcag,1898-12,-0.4895
GISTEMP,1899-01,-0.17
gcag,1899-01,-0.3598
GISTEMP,1899-02,-0.39
gcag,1899-02,-0.554
GISTEMP,1899-03,-0.37
gcag,1899-03,-0.589
GISTEMP,1899-04,-0.21
gcag,1899-04,-0.4393
GISTEMP,1899-05,-0.23
gcag,1899-05,-0.3589
GISTEMP,1899-06,-0.32
gcag,1899-06,-0.501
GISTEMP,1899-07,-0.16
gcag,1899-07,-0.3655
GISTEMP,1899-08,-0.09
gcag,1899-08,-0.2398
GISTEMP,1899-09,-0.06
gcag,1899-09,-0.1516
GISTEMP,1899-10,-0.04
gcag,1899-10,-0.1831
GISTEMP,1899-11,0.12
gcag,1899-11,-0.0569
GISTEMP,1899-12,-0.27
gcag,1899-12,-0.4662
GISTEMP,1900-01,-0.37
gcag,1900-01,-0.5065
GISTEMP,1900-02,-0.06
gcag,1900-02,-0.2029
GISTEMP,1900-03,0.0
gcag,1900-03,-0.1997
GISTEMP,1900-04,-0.09
gcag,1900-04,-0.2241
GISTEMP,1900-05,-0.09
gcag,1900-05,-0.3028
GISTEMP,1900-06,-0.1
gcag,1900-06,-0.2171
GISTEMP,1900-07,-0.13
gcag,1900-07,-0.1909
GISTEMP,1900-08,-0.09
gcag,1900-08,-0.2108
GISTEMP,1900-09,-0.06
gcag,1900-09,-0.1957
GISTEMP,1900-10,0.09
gcag,1900-10,-0.0647
GISTEMP,1900-11,-0.07
gcag,1900-11,-0.2625
GISTEMP,1900-12,-0.07
gcag,1900-12,-0.2362
GISTEMP,1901-01,-0.22
gcag,1901-01,-0.2806
GISTEMP,1901-02,-0.12
gcag,1901-02,-0.2682
GISTEMP,1901-03,0.05
gcag,1901-03,-0.2008
GISTEMP,1901-04,-0.03
gcag,1901-04,-0.1753
GISTEMP,1901-05,-0.15
gcag,1901-05,-0.2493
GISTEMP,1901-06,-0.12
gcag,1901-06,-0.2366
GISTEMP,1901-07,-0.15
gcag,1901-07,-0.3289
GISTEMP,1901-08,-0.21
gcag,1901-08,-0.205
GISTEMP,1901-09,-0.23
gcag,1901-09,-0.3551
GISTEMP,1901-10,-0.3
gcag,1901-10,-0.3407
GISTEMP,1901-11,-0.17
gcag,1901-11,-0.3958
GISTEMP,1901-12,-0.27
gcag,1901-12,-0.4845
GISTEMP,1902-01,-0.17
gcag,1902-01,-0.4395
GISTEMP,1902-02,-0.09
gcag,1902-02,-0.2322
GISTEMP,1902-03,-0.28
gcag,1902-03,-0.474
GISTEMP,1902-04,-0.28
gcag,1902-04,-0.4305
GISTEMP,1902-05,-0.33
gcag,1902-05,-0.4302
GISTEMP,1902-06,-0.32
gcag,1902-06,-0.4452
GISTEMP,1902-07,-0.28
